,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,Accuracy,Precision,Recall
0,10,auto,1,2,5,0.9666666666666667,0.9696969696969697,0.9666666666666667
1,10,auto,1,2,6,0.8666666666666667,0.9047619047619048,0.8666666666666667
2,10,auto,1,2,7,0.8666666666666667,0.9047619047619048,0.8666666666666667
3,10,auto,1,2,8,0.9,0.923076923076923,0.9
4,10,auto,1,2,9,0.9,0.923076923076923,0.9
5,10,auto,1,2,10,0.9,0.923076923076923,0.9
6,10,auto,1,2,11,0.8666666666666667,0.9047619047619048,0.8666666666666667
7,10,auto,1,2,12,0.9,0.923076923076923,0.9
8,10,auto,1,2,13,0.9333333333333333,0.9444444444444445,0.9333333333333332
9,10,auto,1,2,14,0.8666666666666667,0.9047619047619048,0.8666666666666667
10,10,auto,1,2,15,0.9,0.923076923076923,0.9
11,10,auto,1,2,16,0.9,0.923076923076923,0.9
12,10,auto,1,2,17,0.8666666666666667,0.9047619047619048,0.8666666666666667
13,10,auto,1,2,18,0.9,0.923076923076923,0.9
14,10,auto,1,2,19,0.9,0.923076923076923,0.9
15,10,auto,1,2,20,0.9,0.923076923076923,0.9
16,10,auto,1,5,5,0.8666666666666667,0.9047619047619048,0.8666666666666667
17,10,auto,1,5,6,0.9,0.923076923076923,0.9
18,10,auto,1,5,7,0.8666666666666667,0.9047619047619048,0.8666666666666667
19,10,auto,1,5,8,0.9,0.923076923076923,0.9
20,10,auto,1,5,9,0.8666666666666667,0.9047619047619048,0.8666666666666667
21,10,auto,1,5,10,0.9,0.923076923076923,0.9
22,10,auto,1,5,11,0.8666666666666667,0.9047619047619048,0.8666666666666667
23,10,auto,1,5,12,0.8666666666666667,0.9047619047619048,0.8666666666666667
24,10,auto,1,5,13,0.9,0.923076923076923,0.9
25,10,auto,1,5,14,0.9,0.923076923076923,0.9
26,10,auto,1,5,15,0.9,0.923076923076923,0.9
27,10,auto,1,5,16,0.9,0.923076923076923,0.9
28,10,auto,1,5,17,0.8666666666666667,0.9047619047619048,0.8666666666666667
29,10,auto,1,5,18,0.9,0.923076923076923,0.9
30,10,auto,1,5,19,0.9,0.923076923076923,0.9
31,10,auto,1,5,20,0.9,0.923076923076923,0.9
32,10,auto,1,8,5,0.9,0.923076923076923,0.9
33,10,auto,1,8,6,0.9,0.923076923076923,0.9
34,10,auto,1,8,7,0.9,0.923076923076923,0.9
35,10,auto,1,8,8,0.8666666666666667,0.9047619047619048,0.8666666666666667
36,10,auto,1,8,9,0.9333333333333333,0.9444444444444445,0.9333333333333332
37,10,auto,1,8,10,0.9,0.923076923076923,0.9
38,10,auto,1,8,11,0.9333333333333333,0.9444444444444445,0.9333333333333332
39,10,auto,1,8,12,0.9,0.923076923076923,0.9
40,10,auto,1,8,13,0.9,0.923076923076923,0.9
41,10,auto,1,8,14,0.9,0.923076923076923,0.9
42,10,auto,1,8,15,0.9,0.923076923076923,0.9
43,10,auto,1,8,16,0.9,0.923076923076923,0.9
44,10,auto,1,8,17,0.9,0.923076923076923,0.9
45,10,auto,1,8,18,0.9,0.923076923076923,0.9
46,10,auto,1,8,19,0.9,0.923076923076923,0.9
47,10,auto,1,8,20,0.9,0.923076923076923,0.9
48,10,auto,1,11,5,0.9,0.923076923076923,0.9
49,10,auto,1,11,6,0.9,0.923076923076923,0.9
50,10,auto,1,11,7,0.9,0.923076923076923,0.9
51,10,auto,1,11,8,0.9666666666666667,0.9696969696969697,0.9666666666666667
52,10,auto,1,11,9,0.9,0.923076923076923,0.9
53,10,auto,1,11,10,0.9666666666666667,0.9696969696969697,0.9666666666666667
54,10,auto,1,11,11,0.9,0.923076923076923,0.9
55,10,auto,1,11,12,0.9333333333333333,0.9444444444444445,0.9333333333333332
56,10,auto,1,11,13,0.9333333333333333,0.9444444444444445,0.9333333333333332
57,10,auto,1,11,14,0.9,0.923076923076923,0.9
58,10,auto,1,11,15,0.9333333333333333,0.9444444444444445,0.9333333333333332
59,10,auto,1,11,16,0.9,0.923076923076923,0.9
60,10,auto,1,11,17,0.9,0.923076923076923,0.9
61,10,auto,1,11,18,0.9333333333333333,0.9444444444444445,0.9333333333333332
62,10,auto,1,11,19,0.9,0.923076923076923,0.9
63,10,auto,1,11,20,0.9,0.923076923076923,0.9
64,10,auto,1,14,5,0.9333333333333333,0.9444444444444445,0.9333333333333332
65,10,auto,1,14,6,0.9,0.923076923076923,0.9
66,10,auto,1,14,7,0.9,0.923076923076923,0.9
67,10,auto,1,14,8,0.9333333333333333,0.9444444444444445,0.9333333333333332
68,10,auto,1,14,9,0.9666666666666667,0.9696969696969697,0.9666666666666667
69,10,auto,1,14,10,0.9,0.923076923076923,0.9
70,10,auto,1,14,11,0.9333333333333333,0.9444444444444445,0.9333333333333332
71,10,auto,1,14,12,0.9333333333333333,0.9444444444444445,0.9333333333333332
72,10,auto,1,14,13,0.9333333333333333,0.9444444444444445,0.9333333333333332
73,10,auto,1,14,14,0.9666666666666667,0.9696969696969697,0.9666666666666667
74,10,auto,1,14,15,0.8666666666666667,0.9047619047619048,0.8666666666666667
75,10,auto,1,14,16,0.9666666666666667,0.9696969696969697,0.9666666666666667
76,10,auto,1,14,17,0.8666666666666667,0.9047619047619048,0.8666666666666667
77,10,auto,1,14,18,0.9333333333333333,0.9444444444444445,0.9333333333333332
78,10,auto,1,14,19,0.9,0.923076923076923,0.9
79,10,auto,1,14,20,0.9,0.923076923076923,0.9
80,10,auto,2,2,5,0.8666666666666667,0.9047619047619048,0.8666666666666667
81,10,auto,2,2,6,0.9,0.923076923076923,0.9
